date	operator
20-Dec-16	1
21-Dec-16	1
22-Dec-16	1
23-Dec-16	1
24-Dec-16	1
25-Dec-16	2
26-Dec-16	2
27-Dec-16	2
28-Dec-16	3
29-Dec-16	3
30-Dec-16	3
31-Dec-16	4
01-Jan-17	4
02-Jan-17	4
03-Jan-17	4
04-Jan-17	4
05-Jan-17	5
06-Jan-17	6
07-Jan-17	4
08-Jan-17	5
09-Jan-17	6
10-Jan-17	8
11-Jan-17	8
12-Jan-17	6
13-Jan-17	7
14-Jan-17	8
15-Jan-17	6
16-Jan-17	7
17-Jan-17	7
18-Jan-17	5
19-Jan-17	6
20-Jan-17	6
21-Jan-17	6
22-Jan-17	6
23-Jan-17	4
24-Jan-17	3
25-Jan-17	4
26-Jan-17	4
27-Jan-17	2
28-Jan-17	1
29-Jan-17	1
30-Jan-17	1
31-Jan-17	1
01-Feb-17	0
