date	operator
29-Aug-16	1
30-Aug-16	1
31-Aug-16	1
01-Sep-16	1
02-Sep-16	1
03-Sep-16	1
04-Sep-16	1
05-Sep-16	1
06-Sep-16	1
07-Sep-16	1
08-Sep-16	1
09-Sep-16	1
10-Sep-16	1
11-Sep-16	1
12-Sep-16	1
13-Sep-16	1
14-Sep-16	1
15-Sep-16	1
16-Sep-16	1
17-Sep-16	2
18-Sep-16	3
19-Sep-16	3
20-Sep-16	3
21-Sep-16	3
22-Sep-16	3
23-Sep-16	1
24-Sep-16	2
25-Sep-16	2
26-Sep-16	2
27-Sep-16	2
28-Sep-16	2
29-Sep-16	2
30-Sep-16	2
01-Oct-16	2
02-Oct-16	2
03-Oct-16	2
04-Oct-16	3
05-Oct-16	3
06-Oct-16	4
07-Oct-16	4
08-Oct-16	4
09-Oct-16	4
10-Oct-16	4
11-Oct-16	4
12-Oct-16	2
13-Oct-16	1
14-Oct-16	2
15-Oct-16	2
16-Oct-16	2
17-Oct-16	2
18-Oct-16	2
19-Oct-16	2
20-Oct-16	2
21-Oct-16	2
22-Oct-16	2
23-Oct-16	2
24-Oct-16	3
25-Oct-16	5
26-Oct-16	5
27-Oct-16	5
28-Oct-16	5
29-Oct-16	3
30-Oct-16	4
31-Oct-16	3
01-Nov-16	3
02-Nov-16	3
03-Nov-16	3
04-Nov-16	3
05-Nov-16	3
06-Nov-16	3
07-Nov-16	3
08-Nov-16	3
09-Nov-16	3
10-Nov-16	3
11-Nov-16	3
12-Nov-16	3
13-Nov-16	3
14-Nov-16	3
15-Nov-16	3
16-Nov-16	3
17-Nov-16	3
18-Nov-16	2
19-Nov-16	0
